,ProjectedRevenue,ActualRevenue,Residuals,StandardizedResiduals,StudentizedResiduals,CooksDistance,Leverage,Possible Outlier?,UpperLIne,LowerLine
0,1381990,503700,348186.65473662736,0.35185722384066764,0.33738669284520884,0.008226657462323527,0.11730848325115956,No,2093254.8226282352,-1782228.132101488
1,6707388,3982499,-912526.0549440896,-0.9019959118959898,-0.8937048899815384,0.03414227940988805,0.07743056555310598,No,6832766.532308954,2957283.577579231
2,3918305,2343829,-68960.63558737235,-0.06864812798332282,-0.06546744697570937,0.00023410415796239144,0.09037420562337584,No,4350531.112952236,475048.1582225126
3,33929121,30000904,879009.4582491033,2.2992476064892506,3.04183834722778,17.42030093522555,0.8682552664349822,No,31059636.01911577,27184153.064386047
4,1799035,1381306,854629.8494469955,0.8609994618573434,0.8500747962744655,0.04669701582208242,0.11188744875507653,No,2464417.627917867,-1411065.3268118561
5,2234080,1450818,536959.3568449314,0.5393728497386575,0.5212103876245981,0.01736524976263957,0.1066486065714089,No,2851600.1205199314,-1023882.8342097919
6,4810657,4209130,1002162.585933534,0.9943245927059734,0.9937623516122935,0.0455286930726391,0.08433279204164779,No,5144708.89143133,1269225.9367016063
7,5453460,3830710,51659.08240611805,0.05116449881467021,0.04878924135208374,0.00011550328777825944,0.08108872534773197,No,5716792.394958746,1841309.4402290222
8,9654151,5166357,-2351235.9351577153,-2.3308084783792618,-3.1237986668231863,0.2449923736157573,0.08273061998865375,Yes,9455334.41252258,5579851.457792857
9,5254625,4523906,921814.7783376458,0.9134389327433853,0.9059670101014853,0.03726150158457573,0.08199309141803783,No,5539832.699027218,1664349.7442974944
10,13212889,9741988,-942819.9344283305,-0.9515815777690688,-0.9471173247036361,0.058903274962859166,0.11512257652690784,No,12622549.411793197,8747066.457063472
11,3635413,2752702,591681.3301453292,0.5897423398196725,0.5714030728705183,0.01775950161281494,0.0926626935810028,No,4098762.147219534,223279.192489811
12,3945338,1526288,-910560.5359827606,-0.906329910861558,-0.8983447051135306,0.04070217152384897,0.09016492490690922,No,4374590.013347624,499107.0586179008
