,AverageSAT,GraduationRate,Residuals,StandardizedResiduals
0,722.21,60,27.13405501489683,2.5145649527572407
1,833.32,31,-10.461932707791433,-0.914406387168853
2,877.77,44,-0.9007919848456396,-0.077470919066339
3,899.99,42,-4.619834800056992,-0.3946597129779734
4,944.43,45,-5.05792043047969,-0.4273997911808694
5,944.43,51,0.9420795695203097,0.07960675080263314
6,1005.0,70,15.256101922474784,1.276696829159578
7,1011.1,58,2.784177477254744,0.23283793517418752
8,1055.54,48,-10.653908153167954,-0.8882027455149392
9,1055.54,76,17.346091846832046,1.4461215716158842
10,1060.0,42,-16.998954550820642,-1.4169705254614875
11,1080.0,54,-6.546247813837155,-0.5455072501736605
12,1099.99,42,-20.092767430222167,-1.6748540637126486
13,1155.0,54,-12.348597550149094,-1.0333729089541106
14,1166.65,67,-0.2498958758562253,-0.0209418742137594
15,1215.0,65,-5.990477339198648,-0.5061316656859187
16,1235.0,80,7.462229397784824,0.6333068940443775
17,1380.0,88,4.244353240915075,0.38017762597796495
18,1395.0,96,11.08388329365269,1.0008161956933677
19,1465.0,98,7.668356873094879,0.7242530020773228
